year,female_id,offspring_year_fem,age_fem,inbreed_coef,first_nest,last_nest,breed_dur,terr_qual,dens_fem,dens_pop
2005,176124499,5,1,0.034362599,97,181,84,0.037448,27,151
2004,176124382,4,1,0.068968773,103,159,56,0.037497,16,86
2002,176124022,1,1,0.083879441,113,156,43,0.037756,26,102
1990,142169558,2,1,0,84,176,92,0.038114,10,69
1978,120130640,1,1,0,142,153,11,0.038157,48,209
2009,226189163,2,1,0.031371352,119,160,41,0.038445,22,83
2009,224130527,2,1,0.027719648,126,154,28,0.038524,22,83
2002,176124026,2,1,0.085006833,115,157,42,0.038616,26,102
2007,224130451,5,1,0.075713586,104,141,37,0.038617,20,93
1982,125160198,3,1,0,121,121,0,0.038764,26,130
1991,150154639,5,1,0.030151367,98,155,57,0.039124,28,100
2009,226189172,3,1,0.142118708,115,138,23,0.040499,22,83
2002,172168072,4,1,0.053376436,106,149,43,0.041362,26,102
1991,150156909,3,1,0.02734375,101,162,61,0.041504,28,100
2008,226189060,2,1,0.138352355,129,166,37,0.041874,33,114
2008,226189140,3,1,0.10340804,110,143,33,0.042549,33,114
2007,224130433,5,1,0.065710119,94,165,71,0.042718,20,93
1990,150154534,6,1,0.047851563,99,187,88,0.04287,10,69
1984,125158807,6,1,0,92,169,77,0.04332,53,231
2008,226189028,3,1,0.097623958,106,157,51,0.043438,33,114
2002,172168063,4,1,0.034151077,103,148,45,0.04452,26,102
2008,226189007,5,1,0.043139982,104,171,67,0.04656,33,114
1986,125159412,1,1,0.015625,121,157,36,0.046579,61,155
1990,150154533,7,1,0.047851563,93,173,80,0.047533,10,69
1999,146130452,2,1,0.095350266,128,140,12,0.048918,14,60
2002,172168073,2,1,0.051881552,117,117,0,0.051625,26,102
2001,146130794,6,1,0.033618927,108,155,47,0.05323,11,71
2006,146130794,4,1,0.033618927,108,164,56,0.05323,34,89
1991,150154596,4,1,0.022949219,118,152,34,0.058655,28,100
2005,176124629,5,1,0,80,149,69,0.058876,27,151
2004,176124274,5,1,0.058660984,91,134,43,0.060531,16,86
2005,176124552,6,1,0.049155414,113,155,42,0.063319,27,151
2005,176124650,5,1,0.045740783,96,130,34,0.06417,27,151
2002,172168064,3,1,0.10655117,110,159,49,0.064767,26,102
2008,226189045,1,1,0.060868696,108,155,47,0.067628,33,114
1989,125164909,2,1,0,113,184,71,0.079137,4,20
2006,176124889,5,1,0.045024857,112,152,40,0.083377,34,89
2006,176124853,2,1,0,115,145,30,0.088274,34,89
1979,120130581,4,2,0,87,128,41,0.004189,65,128
1984,125158709,5,2,0,101,153,52,0.0072,53,231
1988,135102371,2,2,0.01171875,106,174,68,0.007216,53,157
1983,125160209,6,2,0,87,157,70,0.00753,54,204
1984,125160268,1,2,0,95,147,52,0.008406,53,231
1988,135102344,3,2,0.017578125,113,113,0,0.008464,53,157
1985,125158891,7,2,0,94,174,80,0.009101,71,214
1985,125159326,4,2,0,98,181,83,0.009287,71,214
1992,150156940,6,2,0,85,170,85,0.009343,41,178
1987,135102034,3,2,0,105,135,30,0.009614,58,187
1985,125158859,2,2,0,104,159,55,0.009695,71,214
1979,120130652,3,2,0,88,128,40,0.009875,65,128
1984,125158725,4,2,0,100,151,51,0.010246,53,231
1998,145162272,1,2,0.105121613,93,142,49,0.010525,31,130
1997,145162121,7,2,0.075439453,109,173,64,0.011944,41,197
1998,145162356,6,2,0.094688416,96,177,81,0.012051,31,130
1993,142169644,3,2,0,105,105,0,0.012204,42,163
1988,135102207,1,2,0,113,132,19,0.012478,53,157
1995,150159217,7,2,0.021484375,109,145,36,0.012769,41,217
1992,150156939,6,2,0,76,170,94,0.01311,41,178
1992,150156905,3,2,0,84,123,39,0.013151,41,178
1979,120130595,4,2,0,95,136,41,0.013213,65,128
1988,135102353,4,2,0,105,143,38,0.014142,53,157
1979,120130683,3,2,0,103,142,39,0.01419,65,128
1994,145120484,3,2,0.152160645,115,156,41,0.014259,52,181
1994,143173574,5,2,0.123184204,104,143,39,0.014345,52,181
1997,146164280,5,2,0.030487061,98,141,43,0.014654,41,197
1984,125158779,3,2,0,98,162,64,0.015149,53,231
2007,172168157,0,2,0.064326108,101,151,50,0.015756,20,93
1987,125159403,0,2,0,108,108,0,0.016043,58,187
1988,135102272,3,2,0.001953125,114,159,45,0.016236,53,157
1997,146164300,1,2,0.100696564,104,104,0,0.016801,41,197
1985,125158825,6,2,0,100,169,69,0.017043,71,214
1988,135102268,2,2,0.0390625,120,153,33,0.017175,53,157
1979,117174396,2,2,0,109,142,33,0.017214,65,128
1987,125159407,2,2,0,105,128,23,0.01749,58,187
1993,142169650,1,2,0.034179688,104,139,35,0.018203,42,163
1997,145162029,7,2,0.082832336,113,183,70,0.018455,41,197
1986,125158903,1,2,0,118,144,26,0.018586,61,155
1988,135102273,2,2,0.001953125,116,134,18,0.018587,53,157
1978,109137451,5,2,0,103,141,38,0.019179,48,209
1992,150156941,3,2,0,76,151,75,0.019375,41,178
1997,145162139,1,2,0.030899048,106,181,75,0.020171,41,197
1979,120130601,1,2,0,112,153,41,0.020499,65,128
1992,150147191,6,2,0.021484375,83,125,42,0.020588,41,178
2003,172168266,4,2,0.083879441,110,171,61,0.02114,27,105
1979,120130597,2,2,0,98,137,39,0.021287,65,128
1998,145162230,6,2,0.039627075,96,144,48,0.02189,31,130
1979,120130699,1,2,0,105,131,26,0.022034,65,128
