"id","year","month","decimallatitude","decimallongitude","sex","moistclimond","radclimond","temp","precipbioclim","pevapotranaotb","evapotransaotb","rhaotb","loc1","loc2","loc3","loc4","sample_age","pc.climate","pc1","pc2"
"MVZ55658",1929,6,23.441944,-109.7747222,"female",0.305245,185.008,23.1666,344,99.7053,33.9682,62,0.289280975752264,0.225068361086766,0.110387613204791,0.121658606485539,83,0.900032033493631,0.90003203349363,-0.439971378034069
"MVZ153539",1964,6,31.04448,-94.274,"female",0.879948,156.953,18.7085,1278,82.6957,69.8487,75,0.29470856266433,0.108449357288928,0.105810099328075,0.0813329389424482,48,0.34491781244784,0.344917812447842,1.02274566653204
"MVZ153543",1964,6,28.185,-97.419,"female",0.663545,160.468,21.7004,888,97.202,66.2293,75,0.339847230499562,0.165640557990067,0.1090950628104,0.113288995033596,48,0.51103755297772,0.511037552977719,0.412990248385965
"MVZ59856",1931,7,24.142222,-110.3108333,"female",0.263222,185.632,22.7233,190,108.277,20.4792,67,0.207233584574934,0.226797382413088,0.110256768916155,0.138532789950336,81,0.990207157249374,0.990207157249374,-0.486201314289432
"MVZ124539",1951,7,31.4665,-83.5266,"female",0.866747,157.789,18.862,1205,84.59,76.9493,75,0.231068457493427,0.110798924919661,0.0950235699678645,0.0715534238971662,61,0.378271969072886,0.378271969072887,1.03529867894213
"MVZ11251",1889,3,29.423889,-98.493333,"male",0.50809,160.983,20.7549,680,93.4488,56.6063,68,0.177918851884312,0.0413671633070406,0.0911098568507158,0.106455226409582,123,0.603946497832452,0.603946497832451,0.0650722147017212
"MVZ11252",1889,3,29.423889,-98.493333,"male",0.50809,160.983,20.7549,680,93.4488,56.6063,68,0.16351359626059,0.053458439964943,0.0964605579900672,0.121978431200701,123,0.603946497832452,0.603946497832451,0.0650722147017212
"MVZ36559",1889,3,29.5801,-81.6739,"male",0.921519,159.003,20.7661,1307,91.4377,86.5422,74,0.186398098159509,0.0522023371311715,0.0825348261758691,0.0926858165352031,123,0.447657749489646,0.447657749489647,1.13213919534967
"MVZ41603",1912,3,25.915,-97.488,"male",0.5823,160.14,23.2081,684,106.788,51.4235,74,0.185512570844289,0.0703153812445223,0.0817668799298861,0.113583044113351,100,0.649439365883485,0.649439365883485,0.337412750310779
"MVZ53900",1929,3,32.2217,-110.9258,"male",0.268675,186.387,20.4936,301,97.2417,25.2775,39,0.229474405492258,0.0625727286006427,0.103386760151913,0.172422661408122,83,1.06775008663905,1.06775008663905,-0.8548174778037
"MVZ53901",1929,3,32.2217,-110.9258,"male",0.268675,186.387,20.4936,301,97.2417,25.2775,39,0.206007031843412,0.0529585860356412,0.105751770376862,0.166996879929886,83,1.06775008663905,1.06775008663905,-0.8548174778037
"MVZ53904",1929,3,32.2217,-110.9258,"male",0.268675,186.387,20.4936,301,97.2417,25.2775,39,0.223169076833187,0.0584011159801344,0.0952628951212387,0.199724905054046,83,1.06775008663905,1.06775008663905,-0.8548174778037
"MVZ82880",1917,3,34.0231,-84.3617,"male",0.964252,150.269,15.1889,1374,68.9295,62.9963,71,0.153030239555945,0.0555053520303827,0.0847392316681273,0.0813126029798422,95,0.115679210528763,0.115679210528763,1.05518985438957
"MVZ82885",1933,3,32.965832,-108.576111,"male",0.321302,179.679,13.7308,355,69.0892,26.7175,42,0.189203336254747,0.0405831697341513,0.101627420391469,0.149036345311131,79,0.714910524592217,0.714910524592215,-0.93713588387753
"UMMZ91360",1937,3,42.3103232,-83.7762451,"male",0.863361,130.612,8.87048,813,55.6928,49.9698,70,0.167862547472977,0.0575976687116565,0.0915291060473269,0.111025471808355,75,-0.230460960760288,-0.23046096076029,0.281155304576723
"MVZ105088",1886,3,33.8006,-80.9645,"male",0.856226,152.915,17.5312,1182,76.766,72.5773,71,0.201882953549518,0.0462039497516798,0.0788995676307334,0.11353905638329,126,0.253725654407835,0.253725654407834,0.687154167072789
"MVZ105089",1887,3,39.4216,-85.0101,"male",0.886182,134.582,11.0757,1041,59.2498,55.993,72,0.181774986853637,0.0619556208004674,0.0843182179374818,0.112296768916155,125,-0.115522776975909,-0.11552277697591,0.627910356566537
"MVZ105106",1933,3,32.9634798,-108.61215,"male",0.321302,179.679,13.7308,352,69.0892,26.7175,42,0.198856678352323,0.0431137101957347,0.103999108968741,0.144439231668127,79,0.714910524592217,0.714910524592215,-0.93713588387753
"MVZ105110",1912,3,24.142222,-110.3108333,"male",0.263222,185.632,22.7233,190,108.277,20.4792,67,0.209718016359918,0.0682488723342098,0.124095582822086,0.16744325737657,100,0.990207157249374,0.990207157249374,-0.486201314289432
"MVZ107817",1921,3,32.7917,-79.8617,"male",0.995971,152.661,18.7829,1250,77.044197,73.445198,72,0.144459462459831,0.046357949167397,0.0790314899211218,0.091586891615542,91,0.258065820048742,0.258065820048742,1.1058742101228
"MVZ107821",1888,3,32.6875,-83.3467,"male",0.805498,154.538,17.9129,1184,78.1165,67.8155,72,0.141812310838446,0.0463799737072743,0.0904760823838738,0.0995992258252994,124,0.305292488596819,0.305292488596818,0.619440089087436
"MVZ123350",1951,3,28.27067,-97.63955,"male",0.607615,160.121,21.7346,810,97.4412,59.3232,75,0.191950820917324,0.054087703768624,0.0903857639497517,0.109643350861817,61,0.578959373425485,0.578959373425484,0.215742697930761
"MVZ123351",1951,3,28.27613,-97.62469,"male",0.607615,160.121,21.7346,817,97.4412,59.3232,74,0.192880222027461,0.0471214694712241,0.097747867367806,0.110398285130003,61,0.578959373425485,0.578959373425484,0.215742697930761
"MVZ123352",1951,3,28.28447,-97.60197,"male",0.607615,160.121,21.7346,821,97.4412,59.3232,74,0.189186421267894,0.0662406456324862,0.101266354075372,0.125233052877593,61,0.578959373425485,0.578959373425484,0.215742697930761
"MVZ147480",1920,3,30.1608,-84.2064,"male",0.982366,161.798,19.909,1493,85.8897,83.1785,74,0.167395395851592,0.0635855039439088,0.0853295296523517,0.0892545223488168,92,0.387283701428458,0.387283701428459,1.16597832679756
"MVZ178828",1996,3,38.7841,-76.2224,"male",0.925736,141.796,13.4925,1105,64.481201,60.347,67,0.199137309377739,0.036626716330704,0.0844002249488753,0.0797894478527607,16,0.0422300909458595,0.0422300909458583,0.618850314235218
"MVZ178832",1987,3,38.7707,-76.2716,"male",0.925736,141.796,13.4925,1099,64.410797,58.621498,67,0.191998472100497,0.0516235436751388,0.104726637452527,0.0964898071866784,25,0.0422300909458595,0.0422300909458583,0.618850314235218
"MVZ50945",1927,4,27.3,-112.9,"male",0.153493,191.148,21.197,95,94.7078,8.8928,57,0.23676325737657,0.0520410049664037,0.113668638621093,0.165516470931931,85,1.0048092163146,1.0048092163146,-0.777912787466772
"MVZ59846",1931,4,26.056667,-111.8172222,"male",0.25094,189.123,20.8507,208,83.2113,9.2637,60,0.22835669880222,0.0390204148407829,0.0860113292433538,0.13452899795501,81,0.909084619131677,0.909084619131675,-0.736073520939795
"MVZ59848",1931,4,26.056667,-111.8172222,"male",0.25094,189.123,20.8507,208,83.2113,9.2637,60,0.182235728892784,0.045062375109553,0.089291317557698,0.124928670756646,81,0.909084619131677,0.909084619131675,-0.736073520939795
"MVZ67025",1935,4,42.4196,-83.9175,"male",0.860658,129.938,8.62504,792,55.6928,49.9698,71,0.171344163014899,0.0588113409290096,0.0911184253578732,0.125073090855974,77,-0.230460960760288,-0.23046096076029,0.281155304576723
"MVZ71229",1936,4,38.4192,-82.35326,"male",0.892291,135.019,12.3069,1075,59.5022,57.317,70,0.147572900964067,0.0614580397312299,0.0812682938942449,0.0944295238095238,76,-0.0812686282748392,-0.0812686282748404,0.623663721083714
