.draw,method,effect,estimate
96,GAM bootstrap,Indirect effect,4.049573308243744
97,GAM bootstrap,Total effect,6.612000901334247
97,GAM bootstrap,Controlled direct effect,2.1396808063954635
97,GAM bootstrap,Indirect effect,4.472320094938784
98,GAM bootstrap,Total effect,6.011356833401278
98,GAM bootstrap,Controlled direct effect,2.2385387932720024
98,GAM bootstrap,Indirect effect,3.7728180401292755
99,GAM bootstrap,Total effect,6.311682100757054
99,GAM bootstrap,Controlled direct effect,2.0864915845167546
99,GAM bootstrap,Indirect effect,4.225190516240299
100,GAM bootstrap,Total effect,6.009726066142549
100,GAM bootstrap,Controlled direct effect,2.030963735409553
100,GAM bootstrap,Indirect effect,3.978762330732996
101,GAM bootstrap,Total effect,6.761793674343565
101,GAM bootstrap,Controlled direct effect,1.7978099383143347
101,GAM bootstrap,Indirect effect,4.96398373602923
102,GAM bootstrap,Total effect,5.911867132275862
102,GAM bootstrap,Controlled direct effect,1.8018492657322729
102,GAM bootstrap,Indirect effect,4.11001786654359
103,GAM bootstrap,Total effect,5.6285263127461604
103,GAM bootstrap,Controlled direct effect,2.315610488302763
103,GAM bootstrap,Indirect effect,3.3129158244433974
104,GAM bootstrap,Total effect,5.6605787267029974
104,GAM bootstrap,Controlled direct effect,2.2218571002447307
104,GAM bootstrap,Indirect effect,3.4387216264582667
105,GAM bootstrap,Total effect,6.55573908372773
105,GAM bootstrap,Controlled direct effect,2.434375888864998
105,GAM bootstrap,Indirect effect,4.121363194862732
106,GAM bootstrap,Total effect,7.8520858012009
106,GAM bootstrap,Controlled direct effect,2.3425837905874713
106,GAM bootstrap,Indirect effect,5.509502010613429
107,GAM bootstrap,Total effect,7.2182566060868325
107,GAM bootstrap,Controlled direct effect,1.7144937083812373
107,GAM bootstrap,Indirect effect,5.503762897705595
108,GAM bootstrap,Total effect,7.162971665532833
108,GAM bootstrap,Controlled direct effect,1.3984238304269594
108,GAM bootstrap,Indirect effect,5.764547835105874
109,GAM bootstrap,Total effect,7.2514833660431375
109,GAM bootstrap,Controlled direct effect,2.157302903327515
109,GAM bootstrap,Indirect effect,5.094180462715622
110,GAM bootstrap,Total effect,5.851848520414906
110,GAM bootstrap,Controlled direct effect,2.5200166724384263
110,GAM bootstrap,Indirect effect,3.33183184797648
111,GAM bootstrap,Total effect,5.157401715945241
111,GAM bootstrap,Controlled direct effect,1.926735683565242
111,GAM bootstrap,Indirect effect,3.230666032379999
112,GAM bootstrap,Total effect,6.614886449291977
112,GAM bootstrap,Controlled direct effect,1.6181589014417335
112,GAM bootstrap,Indirect effect,4.996727547850243
113,GAM bootstrap,Total effect,6.792297396538107
113,GAM bootstrap,Controlled direct effect,2.0687560521020325
113,GAM bootstrap,Indirect effect,4.723541344436074
114,GAM bootstrap,Total effect,5.80071825295459
114,GAM bootstrap,Controlled direct effect,2.378598052686283
114,GAM bootstrap,Indirect effect,3.4221202002683073
115,GAM bootstrap,Total effect,5.90518266351712
115,GAM bootstrap,Controlled direct effect,2.1050454979334403
115,GAM bootstrap,Indirect effect,3.80013716558368
116,GAM bootstrap,Total effect,5.682764317876272
116,GAM bootstrap,Controlled direct effect,1.8722311318748086
116,GAM bootstrap,Indirect effect,3.810533186001463
117,GAM bootstrap,Total effect,6.315657102690448
117,GAM bootstrap,Controlled direct effect,1.9443143005372177
117,GAM bootstrap,Indirect effect,4.37134280215323
118,GAM bootstrap,Total effect,4.909001793065376
118,GAM bootstrap,Controlled direct effect,1.974233457504175
118,GAM bootstrap,Indirect effect,2.934768335561201
119,GAM bootstrap,Total effect,6.087007820477208
119,GAM bootstrap,Controlled direct effect,1.721970089852571
119,GAM bootstrap,Indirect effect,4.365037730624637
120,GAM bootstrap,Total effect,5.789168360444553
120,GAM bootstrap,Controlled direct effect,2.419652002575036
120,GAM bootstrap,Indirect effect,3.3695163578695175
121,GAM bootstrap,Total effect,5.833286510511669
121,GAM bootstrap,Controlled direct effect,1.721917349719321
